method,run,ARI,entropy,n_clusters
DEC,0,1.0,1.5294395100898326,3
DEC,1,0.6681211476528162,1.5563723379433523,3
DEC,2,0.18953108133218016,1.5595692194835258,3
DEC,3,0.4266115892106295,1.5710739358343278,3
DEC,0,1.0,1.5718177452236086,4
DEC,1,0.5250461600887838,1.9522026378431632,4
DEC,2,0.15407611820537587,1.7091482282327337,4
DEC,3,0.3708187196374671,1.9626240967808497,4
DEC,0,1.0,2.020018848345846,5
DEC,1,0.400998781270959,2.0525735983663123,5
DEC,2,0.11761422547384039,2.0622977494535553,5
DEC,3,0.2956675547157137,1.9823491814696117,5
DEC,0,1.0,2.270129306251486,6
DEC,1,0.31542052101310525,2.361420196023706,6
DEC,2,0.14286197907462295,2.3321107346651537,6
DEC,3,0.23469000451360075,2.2242408461273073,6
DEC,0,1.0,2.3336925222387537,7
DEC,1,0.3100589934089336,2.5837367008908023,7
DEC,2,0.14122245341782058,2.573244642466534,7
DEC,3,0.3001066723071516,2.4593418823935904,7
